Text,Text1,Text2,Text3
$519,/ 1br - 650ft2 - ,Ottawa Country Place Apartments 1&2 Bedrooms,"
        
            QR Code Link to This Post
            
        
Rental Assistance may be available to qualified applicants!
Country Place is an income-based community!
No application fee unless a unit is offered!

Looking for a 62-and-over or disabled community that provides the home you want and the value you need?  Ottawa Country Place, a tobacco-free 62+ community, offers 1- and 2-bedroom apartments at some of the best prices in Ottawa! 

We Accept Housing Vouchers!

1 Bedroom from $519
2 Bedroom from $557
***please note rent is based off your income

Community Amenities:
• beautiful downtown Ottawa nearby
• walking distance to school
• Staved Rock State Park 15 minutes away!
• Fox & Illinois Rivers minutes away!
• nearby entertainment, hotels, restaurants and stores.

Apartment Amenities:
• air conditioner, cable ready, carpeting, electric range, refrigerator, wheelchair access.
• on-site management
• off street parking
• community room with laundry facilities
• friendly, quiet community

Units fill quickly contact our friendly staff to find out how to get on the WAITING LIST for Ottawa Country Place Apartments!  Please call or email to schedule an appointment.

Contact Us:   show contact info


OR

ottawa @ woda group . com

This institution is an equal opportunity employer and provider!
    "
$300,/ 2br - 850ft2 - ,2 Bed Rm Apts,"
        
            QR Code Link to This Post
            
        
Ready now, all apartments on the bottom level, must have a steady job, rental history someone other than family, living rm, kitchen dining rm combo, 2 bed rm, 1 bathroom no stove or refrigerator, does have washer and dryer hook up, water is included, NO PETS, NO DRUGS, if u like drama look elsewhere, $300 per week plus $1500 deposit, $50 non refundable criminal back ground check, no text or email call Amanda 615-533-462 five
    "
$541,/ 1br - 575ft2 - ,"Window Coverings, Easy Access to ADM & CAT, Bike Storage","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Conference Room
-Bark Park
-Fitness Center
-Easy Access to ADM & CAT
-Business Center
-Master Card, Visa, & Discover Cards Accepted
-Easy Access to Interstates
-Preferred Employer & Student Discounts Available
-Cable Ready
-Playground
-Green Community
-Common Areas Monitored by 24-Hour Video Surveillance

Call:  show contact info


For more information, visit us at: https://livewithm2.com/eln4mffz/woodcrest-apartments

Pricing and availability are subject to change.
    "
$571,/ 1br - 640ft2 - ,"Business Center, Bike Storage, Laundry Facility","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Business Center
-Swimming Pool
-Master Card, Visa, & Discover Cards Accepted
-Window Coverings
-Easy Access to ADM & CAT
-Dining Room
-Additional Storage
-Common Areas Monitored by 24-Hour Video Surveillance
-Green Community
-Washer/Dryer
-Conference Room
-Bike Storage

Call:  show contact info


For more information, visit us at: https://livewithm2.com/zz6fhftv/woodcrest-apartments

Pricing and availability are subject to change.
    "
$400,,Studio Apartment,"
        
            QR Code Link to This Post
            
        
61 S 19th Street, Unit 1, Terre Haute, In 47807
1 Bed - 1 Bath                    $400.00/mo
Sq Footage: 150                   $400.00/dep
Year built: 1970

Apply Online:                     https://www.rtd4.com/403214
Great studio apartment with ALL UTILTIES PAID!!!
This property is near 19th and Wabash and perfect for students! 
Washer and dryer on site, included in your rent. 

**NOT Section 8 approved. Washer dryer on site included with rent, cats $25.00 monthly. 
**NO DOGS, cats are welcome with a non-refundable deposit of $75 and an additional monthly fee of $25.
Make an appointment to tour this property today, it WILL NOT last!! 
Visit us at www.SycamoreHolding.com or call Rachel at  show contact info
Property Features:FridgeApartment size stoveCentral AirForced AirAll utilities paidWasher and dryer accessLease Terms:   One year lease
    "
$400,,Cozy studio apartment!,"
        
            QR Code Link to This Post
            
        
61 S 19th Street, Unit 1, Terre Haute, In 47807
1 Bed - 1 Bath                    $400.00/mo
Sq Footage: 150                   $400.00/dep
Year built: 1970Great studio apartment with ALL UTILTIES PAID!!!
This property is near 19th and Wabash and perfect for students! 
Washer and dryer on site, included in your rent. 

**NOT Section 8 approved. Washer drier on site included with rent, cats $25.00 monthly. 
**NO DOGS, cats are welcome with a non-refundable deposit of $75 and an additional monthly fee of $25.
Make an appointment to tour this property today, it WILL NOT last!! 
Visit us at www.SycamoreHolding.com or call Rachel at  show contact info
Property Features:FridgeApartment size stoveCentral AirForced AirAll utilities paidWasher and dryer accessLease Terms:   One year lease
    "
$600,/ 1br - ,1 bedroom 1 bathroom Apartment,"
        
            QR Code Link to This Post
            
        
Recently renovated large 1 bedroom apartment with an on-site resident management. Central air FREE HEAT & WATER
 Quiet, park-like setting with tall trees and covered parking. Local management that care about their buildings and residents. We are within walking distance of schools, shopping, dining, and entertainment. We are very close to major highways, downtown, and Clifton Hospitals. 24 Hour Emergency Maintenance, On-site Laundry Facilities, and Extra Storage Available. 2 bus lines within minutes. Owner pays for water, heat and trash. Small pet allowed with deposit and monthly pet fee.
    "
$386,/ 1br - ,"Close to Airport, Kitchen Island, Swimming Pool","
        
            QR Code Link to This Post
            
        
Toledo/Holland Suites – Extended Stay Hotel in Holland, OHLow Weekly & Monthly RatesFREE UtilitiesFree Premium Cable TVCall Now:  show contact info
Additional Information:www.siegelsuites.comApartment Home Features-Private Balcony-Granite Countertops-Dog Park-Free utilities included with stay-Laundry Facility-Easy freeway access-Close to Restaurants-Kitchen Island-Bad Credit Ok-Loft-Heat Pump-Flexible Lease Terms AvailableFree Siegel Reward ProgramEarn points every time you pay your rent or refer a friend. Use your points to treat yourself to free rent, food, movies, gift cards, and much more!Pet Policy20lb weight limit and aggressive breeds such as Pit Bulls and Rottweilers are prohibited.Managed by The Siegel GroupEqual Housing OpportunityPricing may include current special and is subject to change without notice.Siegel Suites Toledo/Holland: Low-Cost, Clean & Furnished Units - Close to Restaurants, Shopping, and More! MOVE IN TODAYCall Us! Move In Today! Available: Studio Suites**Low Weekly and Monthly Rates **Utilities Included**Fully Furnished**Premium Cable TV**No Lease Required Call Now:  show contact info
 VISIT www.siegelsuites.com Siegel Suites Toledo/Holland 6101 Trust Drive, Holland Ohio, 43528 Features and Amenities Pet/Dog Friendly Flat-screen TVs Kitchen with Full Sized Refrigerator Onsite Security High Speed Internet available Sparkling Pool Easy Access to I-475 Rewards Program, Covered Parking and More! Pet Policy We are pet friendly! 20.lb weight limit and breed restrictions apply. Call for details.Free Siegel Reward ProgramEarn points every time you pay your rent or refer a friend. Use your points to treat yourself to free rent, food, movies, gift cards, and much more!
    "
$325,/ 6br - ,Find a new home and a new friend! Live near Campus! 🏫,"
        
            QR Code Link to This Post
            
        
Visit us online at: ArcadiaGroveApartments.com
Arcadia Grove is the BEST value out there!
At Arcadia Grove you can enjoy spacious floor plans that offer many spectacular features and amenities to enjoy including our 24 hours clubhouse access and an spacious pool and sundeck.
We offer tours: walk-ins or by appointment to fit your daily schedule. We are open Monday-Friday 9am-6pm and Saturday 10am-4pm. Stop in today and tour your GORGEOUS new home!


LOOK AT ALL WE HAVE TO OFFER!
•	Pool
•	Sundeck
•	24/7 Clubhouse
•	Fitness Center
•	Tanning Bed
•	Conveniently located Laundry Centers
•	24-Hour Emergency Maintenance
•	Planned Social Activities

Visit us at our convenient location:
1324 Lafayette, Kalamazoo, MI 49006
Visit us online! 
www.ArcadiaGroveApartments.com
Equal Housing Opportunity. Specials are based on availability and may expire or change at any time. Specials and discounts may not be combined. Rates are subject to change without notice.

    "
$400,/ 1br - ,No Lease! No Credit Check! Save 100 off your first week,"
        
            QR Code Link to This Post
            
        
Check Us Out! We are your Apartment Alternative!
New guests only!! 2 rooms left!!!!!!
For your first week only
What makes Us Different?

~No Lease!
~No Credit Check!
~No Application Fee!
~Utilities Included!
~Free WiFi!
~Free Direct TV!
~Free incoming calls!

Flexible Length of Stay!
~ We have Nightly, Weekly and Monthly Rates!

Studio Features:
~Full size refrigerator!
~Two burner stove top!
~Microwave oven!
~Different room styles to choose from!
~Interior doors!
~Under bed storage!

We also Feature:
~On site coin/card operated Laundry Facilities open 24/7!
~Snack/Drink Vending 24/7!
~24 hour staff on site!
~Free bi-weekly house keeping!
~Dog friendly!
~Daily Linen Exchange!
call  show contact info
 for more information!
    "
$585,/ 1br - 625ft2 - ,1 Bed | Kettering - Balcony -,"
        
            QR Code Link to This Post
            
        
Roscommon Place and Wilmington House Apartments

www.rpwhapts.com


Call for our move in special!!!
 show contact info

* please call as emails are not monitored *



Short Term leases available (from 6-12 months)


Extra large 1 bedroom apartments also available, call for more information. 

Amenities:
* Cats Welcome
* AC
* Central Heat
* Equipped Kitchens
* Stackable W/D hook-ups
* Balcony, or Patio



Wilmington House is locally owned and we take great pride in keeping our residents happy and our property clean and in good repair. Wilmington House has a modern 24/7 laundry facility exclusively for our residents. We also have a community recreation area for your use in entertaining, with additional grills and picnic tables scattered about charmingly landscaped green spaces. The new Horace Mann Neighborhood Elementary School is just next door. Living at Wilmington House puts you within walking distance of banks, pharmacies, shopping, restaurants, a 24-Hour coffee shop, and even a neighborhood tavern. We're just 1-2 miles from Downtown, The University of Dayton, Kettering Business Park and Research Park, and a short drive from WBAFB, Wright State University, and all major highways! Section 8 NOT accepted. Contact us to schedule an appointment and let us show you why we think Wilmington House is a great place to live!

Roscommon Place and Wilmington House Apartments
Office Hours: 
Mon - 1 to 5PM 
Wed - 10 to 4PM 
Fri    - 10 to 4PM 


www.rpwhapts.com


    "
$560,/ 1br - ,1 bed Fairborn New Windows,"
        
            QR Code Link to This Post
            
        
www.wrightvillage.com

Wright Village Apartments now renting 1 Bedroom Apartments.
Well maintained upstairs and down stairs units available.
New Windows!!!
Ceiling Fans
Gas forced air heating
Units available with polished hardwood floors, or carpet.

1 Beds rent from $560.00 per month. 
From $250.00 - $560.00 Deposit. 
$35.00 Application fee per adult.
ASK ABOUT OUR MILITARY DISCOUNT

Call for an appointment -  show contact info

*Please CALL as emails are not monitored*

Office Hours
Monday thru Friday 9:00 AM to 5:00 PM
Preferred Appointments
    "
$415,/ 1br - 395ft2 - ,Dayton Apartment Available!,"
        
            QR Code Link to This Post
            
        
HOLIDAY SPECIAL: $350 First Month's Rent (If lease signed by December 15, 2022)

3516 N. Main St. Dayton, OH 45405

** APPLY TODAY! **

* 1 Bedroom / 1 Bath
* $415 Rent / $415 Deposit
* Tenant Pays Electric ONLY
* Stove and Fridge Included
* One Year Lease
* Application decisions not based on credit score

Features:

* Decorative Fireplace
* Spacious closets
*Ceiling Fans
* Upstairs Apartment
* On the corner of North Main and Siebenthaler
* On RTA bus line
* Walking distance of gas stations, Northtown Shopping Center, and local shops and restaurants

Contact Info:
PepZee Realty
1013 N. Main St.
Dayton, OH 45405
www.pepzee.com

Call Us Today To Love Where You Live!ALL INFORMATION ON THIS SITE IS DEEMED RELIABLE BUT IS SUBJECT TO CHANGE WITHOUT NOTICE.

Equal Housing Opportunity
    "
$571,/ 1br - 640ft2 - ,"Central Air Conditioning, Green Community, Tile Flooring","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Bark Park
-Preferred Employer & Student Discounts Available
-Conference Room
-Business Center
-Playground
-Cable Ready
-Common Areas Monitored by 24-Hour Video Surveillance
-Green Community
-Easy Access to Interstates
-Master Card, Visa, & Discover Cards Accepted
-Washer/Dryer
-Tennis Courts

Call:  show contact info


For more information, visit us at: https://livewithm2.com/jfmux4ai/woodcrest-apartments

Pricing and availability are subject to change.
    "
$390,/ 1br - 264ft2 - ,$389.99 weekly rates for interior entry Woodspring Suites studio.,"
        
            QR Code Link to This Post
            
        
Our Promise to You
Because we know what matters.
What’s the Woodspring Suites promise?  A truly affordable, incredibly clean and safer experience that’s always simple and flexible to fit your needs.  That’s why we think you’ll be happier here, when you’re looking for an extended stay hotel, an apartment, or just better, more affordable housing.  No matter what brings you to Woodspring Suites, you can count on a respectful, helpful and friendly team dedicated to keeping the Woodspring Suites promise to our guests.
Kitchen Appliances
•	Full-size refrigerator with freezer
•	Two-burner ceramic cooktop
•	Microwave oven

Living Room/Bedroom Furnishings
•	Full-size bed(s) and bedding (number of beds based on room type)
•	Dresser/Cubicle and nightstand
•	Cable/Satellite TV package with at least one premium movie channel
•	Eating/Workspace

Additional Benefits for Your Convenience
•	Room cleaning every two weeks
•	Snack and Drink Vending 
•	Guest Laundry Facility
•	Fitness Center (if applicable)
•	Pet Friendly (dogs only – fees apply)

WoodSpring Suites Lebanon
205 S. Eastagte Ct.
Lebanon, Tn. 37090
    "
$575,/ 2br - 800ft2 - ,"2BDRM APARTMENT, NEW WINDOWS AND C/A. 704 B N. Monroe","
        
            QR Code Link to This Post
            
        
Open for January. No smoking and no pets.
 show contact info
 for info or a showing.  www.comptonrentals.com
2 bedroom, 1 bath apartment. Washer dryer hookup. 800 Square feet.
This unit has brand new windows, new attic and crawlspace insulation and a brand new high efficiency furnace and central air system with a heat pump. 

704 B North Monroe, Marion IL 62959

.
    "
$250,/ 1br - ,Short or Long Term Studio Rentals,"
        
            QR Code Link to This Post
            
        
$250.00 Weekly / $100.00 Deposit / $50.00 Cleaning Fee / $15.00 Transient Tax (first 30 days only)

CASH ONLY

Are you in need of short term or temporary housing in the Lexington area? Maybe you're relocating, between apartments, working temporarily in the Lexington area or just visiting Central Kentucky.  Whatever the reason, Maryhaven Studios is your answer.

Our spacious studios give you everything you need to be at home.  No lease or credit check.  Studios are completely furnished including a full size refrigerator.  Rent includes all utilities, cable television and wireless internet.

Additionally, our location is conveniently located near the Lexington airport, Keeneland Race Course and the Kentucky Horse Park.  You are just minutes away from a large selection of restaurants and shopping as well as local antique shops within walking distance.

No pets of any kind.

Call Sharon at  show contact info
 / 9:00 am - 9:00 pm 

    "
$386,/ 1br - ,"Spacious Floorplans, Close to Schools, Dog Park","
        
            QR Code Link to This Post
            
        
Toledo/Holland Suites – Extended Stay Hotel in Holland, OHLow Weekly & Monthly RatesFREE UtilitiesFree Premium Cable TVCall Now:  show contact info
Additional Information:www.siegelsuites.comApartment Home Features-Kitchen Island-Sparkling swimming pool-Bad Credit Ok-Carpeted-Large two bedroom 2 bath units-Close to Freeway-Close to Public Transportation-Furnished Apartments Available-Close to Restaurants-Sundeck and Lounge Area-Laundry Facility-Fully furnished unitsFree Siegel Reward ProgramEarn points every time you pay your rent or refer a friend. Use your points to treat yourself to free rent, food, movies, gift cards, and much more!Pet Policy20lb weight limit and aggressive breeds such as Pit Bulls and Rottweilers are prohibited.Managed by The Siegel GroupEqual Housing OpportunityPricing may include current special and is subject to change without notice.Siegel Suites Toledo/Holland: Low-Cost, Clean & Furnished Units - Close to Restaurants, Shopping, and More! MOVE IN TODAYCall Us! Move In Today! Available: Studio Suites**Low Weekly and Monthly Rates **Utilities Included**Fully Furnished**Premium Cable TV**No Lease Required Call Now:  show contact info
 VISIT www.siegelsuites.com Siegel Suites Toledo/Holland 6101 Trust Drive, Holland Ohio, 43528 Features and Amenities Pet/Dog Friendly Flat-screen TVs Kitchen with Full Sized Refrigerator Onsite Security High Speed Internet available Sparkling Pool Easy Access to I-475 Rewards Program, Covered Parking and More! Pet Policy We are pet friendly! 20.lb weight limit and breed restrictions apply. Call for details.Free Siegel Reward ProgramEarn points every time you pay your rent or refer a friend. Use your points to treat yourself to free rent, food, movies, gift cards, and much more!
    "
$386,/ 1br - ,"Close to Restaurants, Microwave, Ceiling Fan","
        
            QR Code Link to This Post
            
        
Toledo/Holland Suites – Extended Stay Hotel in Holland, OHLow Weekly & Monthly RatesFREE UtilitiesFree Premium Cable TVCall Now:  show contact info
Additional Information:www.siegelsuites.comApartment Home Features-High-Speed Internet Access-Siegel Rewards Program-Sundeck and Lounge Area-Full kitchen-Heat Included-Pet Friendly-Flexible Lease Terms Available-Carpeted-Close to Public Transportation-Free utilities included with stay-Large studio units-Kitchen IslandFree Siegel Reward ProgramEarn points every time you pay your rent or refer a friend. Use your points to treat yourself to free rent, food, movies, gift cards, and much more!Pet Policy20lb weight limit and aggressive breeds such as Pit Bulls and Rottweilers are prohibited.Managed by The Siegel GroupEqual Housing OpportunityPricing may include current special and is subject to change without notice.Siegel Suites Toledo/Holland: Low-Cost, Clean & Furnished Units - Close to Restaurants, Shopping, and More! MOVE IN TODAYCall Us! Move In Today! Available: Studio Suites**Low Weekly and Monthly Rates **Utilities Included**Fully Furnished**Premium Cable TV**No Lease Required Call Now:  show contact info
 VISIT www.siegelsuites.com Siegel Suites Toledo/Holland 6101 Trust Drive, Holland Ohio, 43528 Features and Amenities Pet/Dog Friendly Flat-screen TVs Kitchen with Full Sized Refrigerator Onsite Security High Speed Internet available Sparkling Pool Easy Access to I-475 Rewards Program, Covered Parking and More! Pet Policy We are pet friendly! 20.lb weight limit and breed restrictions apply. Call for details.Free Siegel Reward ProgramEarn points every time you pay your rent or refer a friend. Use your points to treat yourself to free rent, food, movies, gift cards, and much more!
    "
$569,/ 1br - ,Cambridge Apartments 62+ or disabled,"
        
            QR Code Link to This Post
            
        
Looking for a senior living community that provides the home you want and the value you need? Cambridge Apartments offers 1 bedroom apartments at some of the best prices in Morris. While our rents are low, the quality of amenities we provide are not. Our community features are local to stores and on-site laundry. The spacious apartments include carpet, vinyl wood planking and efficient appliances. Units are filling quickly- contact our friendly staff to find out how you can make Cambridge your new home!
    "
$522,/ 1br - ,Dwight Country Place 62+ or disabled,"
        
            QR Code Link to This Post
            
        
Looking for a senior living community that provides the home you want and the value you need? Dwight Country Place Apartments offers 1 bedroom apartments at some of the best prices in Dwight. While our rents are low, the quality of amenities we provide are not. Our community features are local to stores and on-site laundry. The spacious apartments include carpet, vinyl wood planking and efficient appliances. Units are filling quickly- contact our friendly staff to find out how you can make Dwight Country Place your new home!
    "
$386,/ 1br - ,"Carpeted, Bad Credit Ok, Kitchen Island","
        
            QR Code Link to This Post
            
        
Toledo/Holland Suites – Extended Stay Hotel in Holland, OHLow Weekly & Monthly RatesFREE UtilitiesFree Premium Cable TVCall Now:  show contact info
Additional Information:www.siegelsuites.comApartment Home Features-Close to Airport-Large studio units-Flat screen TV-Spacious Floorplans-High-Speed Internet Access-Soaker Tub-Laundry facilities-Siegel Rewards Program-Ceiling Fan-Kitchen Island-Close to Restaurants-Dog ParkFree Siegel Reward ProgramEarn points every time you pay your rent or refer a friend. Use your points to treat yourself to free rent, food, movies, gift cards, and much more!Pet Policy20lb weight limit and aggressive breeds such as Pit Bulls and Rottweilers are prohibited.Managed by The Siegel GroupEqual Housing OpportunityPricing may include current special and is subject to change without notice.Siegel Suites Toledo/Holland: Low-Cost, Clean & Furnished Units - Close to Restaurants, Shopping, and More! MOVE IN TODAYCall Us! Move In Today! Available: Studio Suites**Low Weekly and Monthly Rates **Utilities Included**Fully Furnished**Premium Cable TV**No Lease Required Call Now:  show contact info
 VISIT www.siegelsuites.com Siegel Suites Toledo/Holland 6101 Trust Drive, Holland Ohio, 43528 Features and Amenities Pet/Dog Friendly Flat-screen TVs Kitchen with Full Sized Refrigerator Onsite Security High Speed Internet available Sparkling Pool Easy Access to I-475 Rewards Program, Covered Parking and More! Pet Policy We are pet friendly! 20.lb weight limit and breed restrictions apply. Call for details.Free Siegel Reward ProgramEarn points every time you pay your rent or refer a friend. Use your points to treat yourself to free rent, food, movies, gift cards, and much more!
    "
$386,/ 1br - ,"Soaker Tub, Laundry facilities, Spacious Floorplans","
        
            QR Code Link to This Post
            
        
Toledo/Holland Suites – Extended Stay Hotel in Holland, OHLow Weekly & Monthly RatesFREE UtilitiesFree Premium Cable TVCall Now:  show contact info
Additional Information:www.siegelsuites.comApartment Home Features-No long term lease required-Close to Restaurants-Carpeted-Large Closet-Flexible Lease Terms Available-High-speed wireless internet available-Flat screen TV-Sparkling swimming pool-Fully furnished units-Heat Included-Bad Credit Ok-Free utilities included with stayFree Siegel Reward ProgramEarn points every time you pay your rent or refer a friend. Use your points to treat yourself to free rent, food, movies, gift cards, and much more!Pet Policy20lb weight limit and aggressive breeds such as Pit Bulls and Rottweilers are prohibited.Managed by The Siegel GroupEqual Housing OpportunityPricing may include current special and is subject to change without notice.Siegel Suites Toledo/Holland: Low-Cost, Clean & Furnished Units - Close to Restaurants, Shopping, and More! MOVE IN TODAYCall Us! Move In Today! Available: Studio Suites**Low Weekly and Monthly Rates **Utilities Included**Fully Furnished**Premium Cable TV**No Lease Required Call Now:  show contact info
 VISIT www.siegelsuites.com Siegel Suites Toledo/Holland 6101 Trust Drive, Holland Ohio, 43528 Features and Amenities Pet/Dog Friendly Flat-screen TVs Kitchen with Full Sized Refrigerator Onsite Security High Speed Internet available Sparkling Pool Easy Access to I-475 Rewards Program, Covered Parking and More! Pet Policy We are pet friendly! 20.lb weight limit and breed restrictions apply. Call for details.Free Siegel Reward ProgramEarn points every time you pay your rent or refer a friend. Use your points to treat yourself to free rent, food, movies, gift cards, and much more!
    "
$340,/ 1br - ,Efficiencies&Rooms(Mason's),"
        
            QR Code Link to This Post
            
        
We have 1 bedrooms with full Kitchens and Full Baths. We have Efficiencies with Microwaves and  Refrigerators. Pet Friendly. Basic cable in rooms.Restaurant on property, Close to Grocery Store,Interstate and shopping Areas. We are about 2 miles from Rivergate Mall. Weekly rates Start at $340.00 and up. Come by and check us out.Mason's 901 S.Dickerson Road,Goodlettsville,Tn 37072.  show contact info
 Print this ad and bring it with you and you will receive $20.00 off your 1st week
MONDAY-FRIDAY 7 A.M. TO 3 P.M. SATURDAY 7 A.M. TO 11 A.M.

***************UNDER NEW OWNERSHIP---------------COME CHECK US OUT
    "
$571,/ 1br - 640ft2 - ,"Bike Storage, Fitness Center, Conference Room","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Window Coverings
-Master Card, Visa, & Discover Cards Accepted
-Business Center
-Cable Ready
-Fitness Center
-Basketball Courts
-Bark Park
-Tile Flooring
-Easy Access to ADM & CAT
-New/Renovated Interior
-Playground
-Central Air Conditioning

Call:  show contact info


For more information, visit us at: https://livewithm2.com/ev7rwwgs/woodcrest-apartments

Pricing and availability are subject to change.
    "
$573,/ 1br - 600ft2 - ,"Washer/Dryer, Business Center, Easy Access to ADM & CAT","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Basketball Courts
-Bike Storage
-Dining Room
-Discounts for Students and Preferred Employers
-Green Community
-Business Center
-Fitness Center
-Playground
-Master Card, Visa, & Discover Cards Accepted
-BBQ & Picnic Area
-New/Renovated Interior
-Laundry Facility

Call:  show contact info


For more information, visit us at: https://livewithm2.com/g4tnntaw/woodcrest-apartments

Pricing and availability are subject to change.
    "
$550,/ 2br - 1000ft2 - ,*****HOME NEW FOR YOU*********,"
        
            QR Code Link to This Post
            
        
Move-in ready home in LOUISVILLE!
This well-maintained bungalow style 2 bedroom, 1 bathroom, 2 car garage home has great curb appeal and sits on a quiet street in a cul-de-sac style subdivision. It features an open entry floor plan, living in front, and eat-in kitchen. Discover a bright interior with fans throughout. Conveniently located in a quiet area near the Preserve and Central. North / South exposure provides mountain views from the backyard, which contains a covered patio for you to enjoy.
Contact us today for further details or to schedule a tour!**************
    "
$548,/ 1br - 600ft2 - ,"Bark Park, Cable Ready, Window Coverings","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Fitness Center
-Swimming Pool
-Business Center
-Easy Access to Interstates
-Dishwasher
-Washer/Dryer
-Dining Room
-Laundry Facility
-Easy Access to ADM & CAT
-Discounts for Students and Preferred Employers
-Common Areas Monitored by 24-Hour Video Surveillance
-BBQ & Picnic Area

Call:  show contact info


For more information, visit us at: https://livewithm2.com/qlh5fywf/woodcrest-apartments

Pricing and availability are subject to change.
    "
$596,/ 1br - 640ft2 - ,"Bike Storage, Dining Room, Cable Ready","
        
            QR Code Link to This Post
            
        
Located in the desirable North Decatur area, within the Argenta-Oreana school district, Woodcrest is a combination of comfort and wonderful convenience. Engulfed with rich landscaping and tranquil grounds, these apartment homes are second to none…

At Woodcrest, we designed your home with your needs in mind. From fully equipped redesigned luxurious kitchens & bathrooms to our over-sized apartment homes, we offer carefree living at its best. Our community amenities include a business center, fitness center, sparkling oversize pool with sundeck, tennis and basketball courts for your enjoyment. Our maintenance staff is on call 24 hrs. for quick response to all situations. Our award winning team is ready to serve you, so stop by today and discover why Woodcrest should be your new home!

-Playground
-Swimming Pool
-Cable Ready
-Additional Storage
-BBQ & Picnic Area
-Central Air Conditioning
-Master Card, Visa, & Discover Cards Accepted
-Easy Access to Interstates
-Discounts for Students and Preferred Employers
-Dishwasher
-Patrol Service
-Bark Park

Call:  show contact info


For more information, visit us at: https://livewithm2.com/oan3jpwb/woodcrest-apartments

Pricing and availability are subject to change.
    "
